crime_id,date,year,month,day,day_of_week,time,hour,city,neighborhood,crime_type,severity,latitude,longitude,victim_age,victim_gender,arrested,domestic_violence,case_status,description,month_name,quarter,hour_category,season
CR000029,2023-11-27,2023,11,27,Monday,10:25,10,Los Angeles,Los Angeles - Neighborhood 5,Theft,2,33.9988,-118.2088,13.0,Male,True,False,Open,Police responded to theft call,November,4,Morning,Fall
CR000030,2020-09-05,2020,9,5,Saturday,12:51,12,New York,New York - Neighborhood 4,Sexual Assault,5,40.7029,-74.0038,56.0,Unknown,False,False,Pending,Police responded to sexual assault call,September,3,Afternoon,Fall
CR000031,2022-07-10,2022,7,10,Sunday,08:15,8,San Diego,San Diego - Neighborhood 6,Vehicle Theft,3,32.788,-117.2045,56.0,,False,False,Closed,Victim reported vehicle theft,July,3,Morning,Summer
CR000032,2020-11-04,2020,11,4,Wednesday,07:44,7,Los Angeles,Los Angeles - Neighborhood 5,Theft,2,33.9806,-118.2972,7.0,Female,False,False,Closed,Report of theft at 07:44,November,4,Morning,Fall
CR000033,2020-01-13,2020,1,13,Monday,21:19,21,San Antonio,San Antonio - Neighborhood 5,Assault,4,29.4707,-98.4193,69.0,Male,False,False,Closed,Police responded to assault call,January,1,Evening,Winter
CR000034,2023-10-22,2023,10,22,Sunday,18:46,18,Chicago,Chicago - Neighborhood 4,Assault,4,41.813,-87.6365,,Unknown,True,False,Closed,Police responded to assault call,October,4,Evening,Fall
CR000035,2021-06-16,2021,6,16,Wednesday,10:13,10,New York,New York - Neighborhood 8,Theft,2,40.7009,-74.0425,53.0,Male,False,False,Closed,Report of theft at 10:13,June,2,Morning,Summer
CR000036,2020-05-20,2020,5,20,Wednesday,18:41,18,San Jose,San Jose - Neighborhood 3,Theft,2,37.2481,-121.9838,30.0,,True,False,Closed,Suspect involved in theft incident,May,2,Evening,Spring
CR000037,2020-12-09,2020,12,9,Wednesday,15:47,15,Los Angeles,Los Angeles - Neighborhood 3,Drug Offense,2,34.0937,-118.1844,39.0,Female,True,False,Closed,Suspect involved in drug offense incident,December,4,Afternoon,Winter
CR000038,2021-09-09,2021,9,9,Thursday,19:38,19,New York,New York - Neighborhood 4,Theft,2,40.7711,-73.9508,84.0,Unknown,False,True,Closed,Police responded to theft call,September,3,Evening,Fall
CR000039,2022-01-11,2022,1,11,Tuesday,16:53,16,Philadelphia,Philadelphia - Neighborhood 1,Burglary,3,39.9419,-75.2394,78.0,Unknown,True,False,Pending,Police responded to burglary call,January,1,Afternoon,Winter
CR000040,2021-05-17,2021,5,17,Monday,19:05,19,Philadelphia,Philadelphia - Neighborhood 5,Assault,4,39.9058,-75.1798,43.0,,False,False,Pending,Police responded to assault call,May,2,Evening,Spring
CR000041,2023-05-05,2023,5,5,Friday,17:17,17,New York,New York - Neighborhood 5,Assault,4,40.7212,-74.0067,71.0,Unknown,True,False,Closed,Police responded to assault call,May,2,Afternoon,Spring
CR000042,2021-03-29,2021,3,29,Monday,11:15,11,Los Angeles,Los Angeles - Neighborhood 1,Theft,2,34.0112,-118.2237,70.0,Unknown,False,False,Closed,Victim reported theft,March,1,Morning,Spring
CR000043,2023-01-02,2023,1,2,Monday,21:44,21,New York,New York - Neighborhood 4,Assault,4,40.647,-74.0667,67.0,Male,False,False,Pending,Suspect involved in assault incident,January,1,Evening,Winter
CR000044,2022-12-29,2022,12,29,Thursday,05:02,5,Los Angeles,Los Angeles - Neighborhood 3,Theft,2,34.1449,-118.2293,62.0,,False,False,Open,Police responded to theft call,December,4,Late Night,Winter
CR000045,2020-04-15,2020,4,15,Wednesday,08:55,8,Chicago,Chicago - Neighborhood 3,Theft,2,41.8755,-87.5656,6.0,,False,True,Pending,Report of theft at 08:55,April,2,Morning,Spring
CR000046,2022-05-02,2022,5,2,Monday,15:50,15,San Jose,San Jose - Neighborhood 1,Vandalism,2,37.3637,-121.8349,75.0,Female,False,False,Closed,Report of vandalism at 15:50,May,2,Afternoon,Spring
CR000047,2021-06-25,2021,6,25,Friday,16:10,16,Dallas,Dallas - Neighborhood 4,Robbery,4,32.728,-96.7896,60.0,Male,True,False,Closed,Police responded to robbery call,June,2,Afternoon,Summer
CR000048,2023-07-04,2023,7,4,Tuesday,15:51,15,New York,New York - Neighborhood 4,Sexual Assault,5,40.7967,-74.025,18.0,,False,False,Open,Victim reported sexual assault,July,3,Afternoon,Summer
CR000049,2023-12-04,2023,12,4,Monday,10:17,10,Los Angeles,Los Angeles - Neighborhood 4,Robbery,4,34.0501,-118.2412,41.0,Male,True,True,Open,Report of robbery at 10:17,December,4,Morning,Winter
CR000050,2020-12-24,2020,12,24,Thursday,12:41,12,San Jose,San Jose - Neighborhood 3,Vandalism,2,37.3284,-121.9344,11.0,Female,False,False,Closed,Report of vandalism at 12:41,December,4,Afternoon,Winter
CR000051,2022-10-11,2022,10,11,Tuesday,08:25,8,San Antonio,San Antonio - Neighborhood 3,Burglary,3,29.4827,-98.48,51.0,Male,False,False,Closed,Police responded to burglary call,October,4,Morning,Fall
CR000052,2023-06-29,2023,6,29,Thursday,18:40,18,Los Angeles,Los Angeles - Neighborhood 2,Burglary,3,34.0384,-118.3297,89.0,Male,True,False,Archived,Suspect involved in burglary incident,June,2,Evening,Summer
CR000053,2023-02-05,2023,2,5,Sunday,11:14,11,Houston,Houston - Neighborhood 5,Vandalism,2,29.8585,-95.2874,63.0,Female,False,False,Closed,Police responded to vandalism call,February,1,Morning,Winter
CR000054,2023-02-02,2023,2,2,Thursday,06:12,6,Philadelphia,Philadelphia - Neighborhood 4,Theft,2,40.0344,-75.1684,53.0,Unknown,False,False,Closed,Victim reported theft,February,1,Morning,Winter
CR000055,2023-09-13,2023,9,13,Wednesday,13:09,13,Phoenix,Phoenix - Neighborhood 7,Vandalism,2,33.4393,-112.0731,41.0,Unknown,False,False,Closed,Suspect involved in vandalism incident,September,3,Afternoon,Fall
CR000056,2022-08-26,2022,8,26,Friday,17:51,17,San Antonio,San Antonio - Neighborhood 4,Theft,2,29.3962,-98.3923,,Male,False,False,Closed,Victim reported theft,August,3,Afternoon,Summer
CR000057,2022-07-24,2022,7,24,Sunday,00:09,0,San Antonio,San Antonio - Neighborhood 4,Theft,2,29.402,-98.459,43.0,Female,True,False,Closed,Police responded to theft call,July,3,Late Night,Summer
CR000058,2020-03-14,2020,3,14,Saturday,16:15,16,Dallas,Dallas - Neighborhood 8,Vehicle Theft,3,32.8062,-96.7158,12.0,Unknown,False,False,Pending,Suspect involved in vehicle theft incident,March,1,Afternoon,Spring
CR000059,2020-04-24,2020,4,24,Friday,08:23,8,Houston,Houston - Neighborhood 1,Theft,2,29.7461,-95.4212,,,False,False,Closed,Suspect involved in theft incident,April,2,Morning,Spring
CR000060,2022-08-02,2022,8,2,Tuesday,16:29,16,Chicago,Chicago - Neighborhood 5,Theft,2,41.8311,-87.7281,20.0,,False,False,Archived,Victim reported theft,August,3,Afternoon,Summer
CR000061,2022-07-24,2022,7,24,Sunday,19:12,19,Houston,Houston - Neighborhood 7,Robbery,4,29.8599,-95.2993,37.0,Female,True,False,Open,Police responded to robbery call,July,3,Evening,Summer
CR000062,2020-04-10,2020,4,10,Friday,20:47,20,New York,New York - Neighborhood 10,Vehicle Theft,3,40.7093,-73.9292,45.0,Male,True,False,Closed,Suspect involved in vehicle theft incident,April,2,Evening,Spring
CR000063,2022-06-21,2022,6,21,Tuesday,01:23,1,Houston,Houston - Neighborhood 1,Assault,4,29.8065,-95.452,,,True,False,Closed,Victim reported assault,June,2,Late Night,Summer
CR000064,2022-09-13,2022,9,13,Tuesday,22:18,22,Philadelphia,Philadelphia - Neighborhood 3,Sexual Assault,5,39.9993,-75.2023,,Unknown,True,False,Pending,Victim reported sexual assault,September,3,Evening,Fall
CR000065,2023-01-03,2023,1,3,Tuesday,05:23,5,New York,New York - Neighborhood 7,Theft,2,40.7446,-73.9755,13.0,Female,False,False,Open,Victim reported theft,January,1,Late Night,Winter
CR000066,2023-07-25,2023,7,25,Tuesday,19:58,19,San Diego,San Diego - Neighborhood 2,Robbery,4,32.7602,-117.1302,,Male,True,True,Open,Suspect involved in robbery incident,July,3,Evening,Summer
CR000067,2023-11-27,2023,11,27,Monday,21:26,21,Los Angeles,Los Angeles - Neighborhood 3,Robbery,4,34.0675,-118.1947,78.0,Female,False,False,Open,Suspect involved in robbery incident,November,4,Evening,Fall
CR000068,2020-07-22,2020,7,22,Wednesday,22:23,22,Los Angeles,Los Angeles - Neighborhood 2,Vehicle Theft,3,34.0589,-118.1444,,,False,False,Pending,Report of vehicle theft at 22:23,July,3,Evening,Summer
CR000069,2020-04-13,2020,4,13,Monday,18:15,18,Houston,Houston - Neighborhood 10,Arson,4,29.8578,-95.3126,75.0,Male,True,False,Closed,Report of arson at 18:15,April,2,Evening,Spring
CR000070,2023-01-11,2023,1,11,Wednesday,08:11,8,New York,New York - Neighborhood 3,Arson,4,40.632,-73.9367,75.0,Male,True,False,Closed,Police responded to arson call,January,1,Morning,Winter
CR000071,2022-01-11,2022,1,11,Tuesday,13:06,13,Chicago,Chicago - Neighborhood 1,Burglary,3,41.8704,-87.6857,84.0,Female,False,False,Closed,Report of burglary at 13:06,January,1,Afternoon,Winter
CR000072,2020-08-09,2020,8,9,Sunday,13:58,13,San Jose,San Jose - Neighborhood 4,Burglary,3,37.3287,-121.8101,,Unknown,False,False,Closed,Police responded to burglary call,August,3,Afternoon,Summer
CR000073,2022-11-01,2022,11,1,Tuesday,15:06,15,San Jose,San Jose - Neighborhood 5,Assault,4,37.3986,-121.9671,27.0,Male,False,False,Closed,Police responded to assault call,November,4,Afternoon,Fall
CR000074,2021-10-02,2021,10,2,Saturday,16:23,16,Los Angeles,Los Angeles - Neighborhood 1,Assault,4,34.1407,-118.2026,,Unknown,False,True,Pending,Report of assault at 16:23,October,4,Afternoon,Fall
CR000075,2023-10-04,2023,10,4,Wednesday,05:22,5,Chicago,Chicago - Neighborhood 5,Vandalism,2,41.9547,-87.5418,,Female,False,False,Closed,Suspect involved in vandalism incident,October,4,Late Night,Fall
CR000076,2020-08-09,2020,8,9,Sunday,09:35,9,New York,New York - Neighborhood 8,Theft,2,40.6835,-73.9575,79.0,Unknown,False,False,Closed,Victim reported theft,August,3,Morning,Summer
CR000077,2021-09-24,2021,9,24,Friday,21:22,21,New York,New York - Neighborhood 5,Drug Offense,2,40.6112,-73.936,,Male,False,False,Open,Suspect involved in drug offense incident,September,3,Evening,Fall
CR000078,2022-01-27,2022,1,27,Thursday,09:20,9,Los Angeles,Los Angeles - Neighborhood 4,Assault,4,34.1054,-118.2265,,Unknown,True,True,Open,Police responded to assault call,January,1,Morning,Winter
CR000079,2021-03-17,2021,3,17,Wednesday,18:07,18,Chicago,Chicago - Neighborhood 4,Burglary,3,41.849,-87.7078,39.0,,False,False,Closed,Report of burglary at 18:07,March,1,Evening,Spring
CR000080,2020-10-08,2020,10,8,Thursday,18:18,18,New York,New York - Neighborhood 5,Domestic Violence,4,40.6756,-74.1085,,Unknown,False,True,Closed,Victim reported domestic violence,October,4,Evening,Fall
CR000081,2022-07-30,2022,7,30,Saturday,21:55,21,New York,New York - Neighborhood 1,Burglary,3,40.6726,-74.0241,51.0,,False,False,Closed,Police responded to burglary call,July,3,Evening,Summer
CR000082,2020-08-04,2020,8,4,Tuesday,08:37,8,Philadelphia,Philadelphia - Neighborhood 3,Theft,2,39.9301,-75.2543,21.0,,False,False,Closed,Suspect involved in theft incident,August,3,Morning,Summer
CR000083,2023-08-14,2023,8,14,Monday,18:15,18,San Diego,San Diego - Neighborhood 3,Assault,4,32.6406,-117.2088,9.0,,True,False,Pending,Police responded to assault call,August,3,Evening,Summer
CR000084,2023-10-26,2023,10,26,Thursday,21:36,21,Phoenix,Phoenix - Neighborhood 7,Vandalism,2,33.4786,-111.9727,56.0,,False,False,Closed,Victim reported vandalism,October,4,Evening,Fall
CR000085,2021-09-27,2021,9,27,Monday,12:02,12,Chicago,Chicago - Neighborhood 3,Burglary,3,41.7914,-87.5637,78.0,Female,True,False,Closed,Report of burglary at 12:02,September,3,Afternoon,Fall
CR000086,2021-10-20,2021,10,20,Wednesday,15:32,15,Los Angeles,Los Angeles - Neighborhood 5,Robbery,4,33.9802,-118.3276,10.0,Male,True,False,Open,Police responded to robbery call,October,4,Afternoon,Fall
CR000087,2020-11-21,2020,11,21,Saturday,10:58,10,San Jose,San Jose - Neighborhood 5,Vandalism,2,37.2966,-121.9082,82.0,Female,False,False,Open,Police responded to vandalism call,November,4,Morning,Fall
CR000088,2021-11-13,2021,11,13,Saturday,04:42,4,New York,New York - Neighborhood 10,Vehicle Theft,3,40.6383,-74.04,76.0,Male,False,False,Closed,Victim reported vehicle theft,November,4,Late Night,Fall
CR000089,2023-11-04,2023,11,4,Saturday,20:05,20,Philadelphia,Philadelphia - Neighborhood 6,Drug Offense,2,39.9792,-75.1853,,Female,False,False,Open,Suspect involved in drug offense incident,November,4,Evening,Fall
CR000090,2023-01-10,2023,1,10,Tuesday,19:56,19,New York,New York - Neighborhood 2,Burglary,3,40.7153,-73.9776,19.0,,False,False,Pending,Suspect involved in burglary incident,January,1,Evening,Winter
CR000091,2023-10-17,2023,10,17,Tuesday,17:28,17,Phoenix,Phoenix - Neighborhood 1,Burglary,3,33.4721,-112.0195,60.0,Male,False,False,Closed,Police responded to burglary call,October,4,Afternoon,Fall
CR000092,2022-10-26,2022,10,26,Wednesday,14:10,14,Los Angeles,Los Angeles - Neighborhood 3,Fraud,2,34.1134,-118.1797,47.0,Male,True,False,Pending,Report of fraud at 14:10,October,4,Afternoon,Fall
CR000093,2022-11-17,2022,11,17,Thursday,06:27,6,New York,New York - Neighborhood 3,Assault,4,40.6283,-73.9279,53.0,,False,False,Closed,Police responded to assault call,November,4,Morning,Fall
CR000094,2021-10-14,2021,10,14,Thursday,21:53,21,San Jose,San Jose - Neighborhood 3,Theft,2,37.3829,-121.9229,60.0,Male,True,True,Pending,Police responded to theft call,October,4,Evening,Fall
CR000095,2021-03-17,2021,3,17,Wednesday,19:35,19,Chicago,Chicago - Neighborhood 1,Theft,2,41.968,-87.6082,15.0,,False,False,Closed,Police responded to theft call,March,1,Evening,Spring
CR000096,2020-02-03,2020,2,3,Monday,16:36,16,New York,New York - Neighborhood 8,Vandalism,2,40.6584,-74.0813,53.0,,False,False,Closed,Victim reported vandalism,February,1,Afternoon,Winter
CR000097,2022-11-05,2022,11,5,Saturday,14:24,14,New York,New York - Neighborhood 9,Vandalism,2,40.7847,-74.1013,45.0,Female,False,False,Closed,Report of vandalism at 14:24,November,4,Afternoon,Fall
CR000098,2020-09-30,2020,9,30,Wednesday,02:34,2,Philadelphia,Philadelphia - Neighborhood 6,Drug Offense,2,39.9177,-75.1414,61.0,Male,False,False,Open,Report of drug offense at 02:34,September,3,Late Night,Fall
CR000099,2020-03-26,2020,3,26,Thursday,09:19,9,New York,New York - Neighborhood 1,Fraud,2,40.7131,-73.9122,24.0,Male,False,False,Pending,Victim reported fraud,March,1,Morning,Spring
CR000100,2022-03-30,2022,3,30,Wednesday,17:57,17,New York,New York - Neighborhood 6,Burglary,3,40.8013,-74.0422,66.0,Male,True,False,Pending,Police responded to burglary call,March,1,Afternoon,Spring
CR000101,2021-10-19,2021,10,19,Tuesday,05:20,5,Chicago,Chicago - Neighborhood 2,Vandalism,2,41.9122,-87.6687,44.0,Unknown,False,False,Pending,Police responded to vandalism call,October,4,Late Night,Fall
CR000102,2023-07-29,2023,7,29,Saturday,11:32,11,New York,New York - Neighborhood 1,Theft,2,40.7702,-73.9741,56.0,,False,False,Open,Victim reported theft,July,3,Morning,Summer
CR000103,2020-11-10,2020,11,10,Tuesday,17:23,17,Los Angeles,Los Angeles - Neighborhood 5,Theft,2,34.0244,-118.1874,83.0,Male,False,False,Open,Police responded to theft call,November,4,Afternoon,Fall
CR000104,2021-06-17,2021,6,17,Thursday,17:13,17,Chicago,Chicago - Neighborhood 5,Theft,2,41.9793,-87.6729,,Female,False,False,Open,Police responded to theft call,June,2,Afternoon,Summer
CR000105,2023-12-24,2023,12,24,Sunday,03:34,3,San Jose,San Jose - Neighborhood 3,Robbery,4,37.2981,-121.93,22.0,Unknown,True,False,Closed,Suspect involved in robbery incident,December,4,Late Night,Winter
CR000106,2023-02-08,2023,2,8,Wednesday,15:29,15,New York,New York - Neighborhood 8,Theft,2,40.7707,-73.9997,61.0,Female,False,True,Pending,Suspect involved in theft incident,February,1,Afternoon,Winter
CR000107,2023-10-24,2023,10,24,Tuesday,14:08,14,Dallas,Dallas - Neighborhood 2,Burglary,3,32.8556,-96.7439,55.0,Male,False,False,Pending,Suspect involved in burglary incident,October,4,Afternoon,Fall
CR000108,2023-12-23,2023,12,23,Saturday,07:33,7,New York,New York - Neighborhood 3,Assault,4,40.789,-73.9408,16.0,Unknown,True,False,Closed,Suspect involved in assault incident,December,4,Morning,Winter
CR000109,2023-09-11,2023,9,11,Monday,16:57,16,Chicago,Chicago - Neighborhood 5,Theft,2,41.901,-87.5615,,,False,False,Closed,Victim reported theft,September,3,Afternoon,Fall
CR000110,2023-08-01,2023,8,1,Tuesday,01:56,1,Houston,Houston - Neighborhood 10,Burglary,3,29.7854,-95.4121,87.0,Female,False,False,Open,Suspect involved in burglary incident,August,3,Late Night,Summer
CR000111,2021-11-27,2021,11,27,Saturday,15:20,15,Los Angeles,Los Angeles - Neighborhood 4,Burglary,3,34.1223,-118.2761,47.0,Male,False,False,Closed,Report of burglary at 15:20,November,4,Afternoon,Fall
CR000112,2020-04-13,2020,4,13,Monday,08:24,8,New York,New York - Neighborhood 4,Theft,2,40.7828,-74.0264,73.0,Male,False,False,Pending,Police responded to theft call,April,2,Morning,Spring
CR000113,2020-07-03,2020,7,3,Friday,21:32,21,Chicago,Chicago - Neighborhood 3,Burglary,3,41.8714,-87.6819,76.0,Unknown,False,True,Closed,Report of burglary at 21:32,July,3,Evening,Summer
CR000114,2021-06-25,2021,6,25,Friday,17:48,17,San Antonio,San Antonio - Neighborhood 4,Theft,2,29.4007,-98.581,36.0,,True,False,Closed,Victim reported theft,June,2,Afternoon,Summer
CR000115,2020-08-31,2020,8,31,Monday,05:06,5,Philadelphia,Philadelphia - Neighborhood 5,Robbery,4,39.9288,-75.111,25.0,Female,False,False,Closed,Report of robbery at 05:06,August,3,Late Night,Summer
CR000116,2022-11-29,2022,11,29,Tuesday,12:38,12,New York,New York - Neighborhood 6,Fraud,2,40.7886,-74.082,78.0,Female,False,False,Closed,Police responded to fraud call,November,4,Afternoon,Fall
CR000117,2020-02-04,2020,2,4,Tuesday,10:43,10,Houston,Houston - Neighborhood 5,Burglary,3,29.6819,-95.3867,80.0,,False,False,Closed,Suspect involved in burglary incident,February,1,Morning,Winter
CR000118,2022-12-09,2022,12,9,Friday,16:39,16,Phoenix,Phoenix - Neighborhood 5,Burglary,3,33.5049,-112.094,89.0,,False,False,Open,Police responded to burglary call,December,4,Afternoon,Winter
CR000119,2023-06-06,2023,6,6,Tuesday,21:55,21,New York,New York - Neighborhood 4,Burglary,3,40.7797,-73.9645,84.0,Female,False,False,Closed,Police responded to burglary call,June,2,Evening,Summer
CR000120,2023-10-16,2023,10,16,Monday,18:46,18,San Diego,San Diego - Neighborhood 3,Vandalism,2,32.7561,-117.0993,35.0,Male,True,False,Archived,Victim reported vandalism,October,4,Evening,Fall
CR000121,2021-12-15,2021,12,15,Wednesday,15:59,15,Houston,Houston - Neighborhood 8,Assault,4,29.8191,-95.4153,50.0,Male,True,False,Closed,Report of assault at 15:59,December,4,Afternoon,Winter
CR000122,2022-09-08,2022,9,8,Thursday,07:52,7,Los Angeles,Los Angeles - Neighborhood 4,Robbery,4,34.0577,-118.1534,75.0,Male,False,False,Closed,Suspect involved in robbery incident,September,3,Morning,Fall
CR000123,2021-11-07,2021,11,7,Sunday,17:06,17,Houston,Houston - Neighborhood 1,Theft,2,29.7962,-95.4425,,Female,False,False,Closed,Victim reported theft,November,4,Afternoon,Fall
CR000124,2020-07-02,2020,7,2,Thursday,16:14,16,Los Angeles,Los Angeles - Neighborhood 1,Sexual Assault,5,34.057,-118.1954,,Male,False,False,Archived,Police responded to sexual assault call,July,3,Afternoon,Summer
CR000125,2021-08-15,2021,8,15,Sunday,20:00,20,Philadelphia,Philadelphia - Neighborhood 2,Domestic Violence,4,39.9097,-75.1494,58.0,Unknown,False,True,Closed,Police responded to domestic violence call,August,3,Evening,Summer
CR000126,2022-07-28,2022,7,28,Thursday,16:45,16,New York,New York - Neighborhood 2,Assault,4,40.6472,-73.9627,22.0,Unknown,False,False,Pending,Victim reported assault,July,3,Afternoon,Summer
CR000127,2020-10-14,2020,10,14,Wednesday,13:59,13,New York,New York - Neighborhood 2,Theft,2,40.6596,-74.0578,38.0,Unknown,True,False,Open,Victim reported theft,October,4,Afternoon,Fall
CR000128,2022-08-11,2022,8,11,Thursday,09:25,9,Houston,Houston - Neighborhood 1,Robbery,4,29.7972,-95.2854,81.0,Female,False,False,Closed,Suspect involved in robbery incident,August,3,Morning,Summer
CR000129,2023-05-25,2023,5,25,Thursday,10:44,10,Dallas,Dallas - Neighborhood 8,Theft,2,32.7898,-96.8058,31.0,Unknown,False,False,Pending,Police responded to theft call,May,2,Morning,Spring
CR000130,2023-03-01,2023,3,1,Wednesday,05:53,5,Chicago,Chicago - Neighborhood 3,Theft,2,41.8895,-87.6289,66.0,Unknown,False,False,Closed,Police responded to theft call,March,1,Late Night,Spring
CR000131,2020-04-23,2020,4,23,Thursday,12:32,12,New York,New York - Neighborhood 9,Burglary,3,40.6931,-73.9972,2.0,Male,False,False,Pending,Report of burglary at 12:32,April,2,Afternoon,Spring
